city,country,latitude,longitude,max temperature,cloudiness (%),humidity (%),wind speed (mph),date
perris,IN,13.3386,79.4449,87.8,20,62,4.61,1620484762
kalanganan,AM,40.3533,44.5232,77,37,22,5.75,1620484762
idanre,AU,-38.1,145.2833,57,99,93,1.05,1620484807
birmingham,ID,-6.4264,105.8646,78.49,70,89,3.85,1620484807
deder,US,35.6127,-77.3663,66.99,1,48,10.36,1620484660
sparbu,FR,48.9823,2.0569,71.01,75,49,17.27,1620484809
metapan,CU,22.9828,-82.5464,82.4,20,57,9.22,1620484809
oystese,DM,15.4333,-61.2667,86,40,74,11.5,1620484809
giuvarasti,RU,43.7295,44.6335,73.4,40,31,11.18,1620484809
monforte de lemos,PE,-11.5997,-76.1411,43.48,19,55,7.27,1620484810
lubeck,UA,48.4875,23.6258,55.99,88,41,4,1620484810
assos,FR,43.9016,1.8969,81,0,39,21.85,1620484811
shagonar,SV,13.5333,-88.25,78.8,0,94,1.45,1620484811
bayonne,TT,10.3833,-61.3,82,100,86,9.08,1620484811
pallipattu,PH,6.8025,124.02,77.68,100,90,7.94,1620484811
zoravan,TR,40.9044,40.8949,56.88,25,54,1.28,1620484776
cranbourne,VE,10.1165,-66.7761,82.4,40,74,3.44,1620484812
margahayu,RU,54.5053,82.4484,62.6,0,39,11.18,1620484812
greenville,TH,13.913,100.4988,86,20,94,4.29,1620484813
chugunash,IT,44.6975,12.1858,64.4,93,55,8.05,1620484814
andresy,GB,52.8052,-2.1164,59,100,79,3,1620484814
bauta,RO,46.3667,24.1,57.2,20,41,23.02,1620484815
castle bruce,US,39.1834,-84.5333,51.01,1,61,4.61,1620484554
lukovskaya,GB,51.2354,-0.5743,61,75,77,27.63,1620484815
morococha,MW,-14.3779,34.3332,58.26,0,73,2.48,1620484815
odemis,PG,-4.2365,142.8448,74.43,88,98,0.85,1620484816
synevyr,US,42.2793,-71.4162,54,100,61,1.99,1620484538
gaillac,MY,5.1267,100.4932,82.4,20,83,1.14,1620484816
moncagua,HN,13.2922,-87.6539,82.4,0,65,4.12,1620484816
tabaquite,GH,10.7856,-0.8514,101.17,100,26,5.97,1620484817
gadung,PH,17.0238,121.6357,77.54,100,85,2.95,1620484817
livaderon,DE,51.2811,9.6186,57.99,0,38,13.8,1620484817
rize,RU,65.1073,57.0459,50.88,74,60,7.61,1620484818
ocumare del tuy,CZ,50.6732,13.9418,60.01,99,39,8.99,1620484818
zavyalovo,PH,15.3667,120.0333,84.2,75,74,4.61,1620484819
pak kret,PE,-6.05,-76.9667,76.24,77,67,3.06,1620484819
comacchio,PL,50.0523,21.6089,57.99,0,47,19.57,1620484819
stafford,RU,47.7764,44.5089,72.18,96,47,9.08,1620484820
stournaraiika,PH,7.1197,124.9239,74.95,98,97,1.3,1620484820
fevralsk,US,36.3048,-86.62,57,100,71,1.01,1620484820
bichis,IE,53.2914,-6.6892,64,40,55,17.27,1620484821
hamilton,IT,45.2548,11.1263,69.01,40,45,4.61,1620484821
guildford,PA,9.55,-79.65,84.99,100,72,10.71,1620484821
dedza,CZ,49.9653,16.9706,52,100,48,5.01,1620484822
ambunti,IN,26.1167,86.6,82.31,100,53,7.67,1620484822
framingham,US,28.2022,-80.6095,77,1,33,14.97,1620484822
parit buntar,CZ,49.932,18.0047,55.4,0,38,10.36,1620484823
amapala,CA,49.8844,-97.147,44.01,8,52,5.75,1620484558
bolgatanga,DK,55.5402,11.5915,54,40,54,13.8,1620484823
san manuel,MX,18.9167,-103.8833,75.2,40,69,1.68,1620484824
kaufungen,US,39.6895,-84.1688,48.99,1,61,9.22,1620484568
kozhva,RU,53.9,53.9333,59.76,85,60,2.77,1620484867
chabarovice,RU,56.262,44.095,62.6,20,34,11.18,1620484867
iba,BG,42.3,24.9667,68,75,40,9.22,1620484868
moyobamba,RO,47.3,27.0833,55,7,46,15.01,1620484868
ropczyce,GH,5.2618,-0.759,82.18,97,73,12.57,1620484868
brestovat,PH,9.1,123,78.46,100,81,3.13,1620484869
sadovoye,BR,-3.2033,-52.2064,82.4,75,83,5.75,1620484869
paatan,PT,41.0076,-8.6413,68,0,60,11.5,1620484870
hendersonville,US,32.2504,-101.4787,73,1,68,20.71,1620484865
clane,US,31.0005,-92.0004,73.99,93,73,3,1620484870
bovolone,PK,31.8025,74.2617,91.4,12,35,3.44,1620484870
portobelo,US,37.3394,-121.895,57,20,76,4.5,1620484738
sumperk,US,35.3859,-94.3986,66.99,1,68,8.05,1620484705
supaul,GB,53.45,-2.3167,59,90,94,8.05,1620484871
south patrick shores,TH,18.25,98.9167,87.01,75,74,9.22,1620484871
tongsa,IT,45.7088,11.4796,68,100,65,5.14,1620484872
kravare,CA,52.4168,-108.7014,44.6,1,45,20.71,1620484872
winnipeg,US,43.7424,-82.8199,42.8,90,87,9.22,1620484873
stenlille,US,34.0454,-81.1293,72,1,45,6.91,1620484873
tecoman,US,44.6995,-73.4529,57,90,58,4.61,1620484709
kettering,CA,56.2501,-117.286,42.01,90,93,5.75,1620484873
priyutovo,RO,45.6667,27.1333,58.55,32,44,14.41,1620484874
afonino,AR,-30.9815,-64.0942,64,20,62,17.27,1620484874
rakovski,RO,47.15,26.65,55,21,40,16.11,1620484874
belcesti,RU,63.4354,53.5765,51.89,29,55,2.53,1620484875
mumford,GT,14.5833,-91.6167,78.8,0,83,3,1620484875
caticugan,RU,50.95,46.9667,65.3,85,42,8.32,1620484875
altamira,TZ,-9.3333,33.75,66.36,99,94,2.15,1620484876
espinho,BR,-23.7781,-45.3581,70.45,67,81,4.52,1620484876
big spring,RO,46.6833,26.65,57.2,40,41,14.97,1620484877
luisiana,US,44.8,-93.7836,52,43,48,9.69,1620484877
muridke,RU,45.7691,47.1258,66.65,89,38,14.18,1620484877
san jose,DE,48.4113,9.497,64.99,93,39,7,1620484878
fort smith,RU,42.6894,46.1178,62.71,72,69,1.19,1620484878
mixtepec,PH,12.6599,120.8923,81.66,95,78,3.8,1620484878
stretford,MG,-20.5167,47.25,56.82,36,98,4.45,1620484879
lamphun,NO,69.2408,19.2344,41,75,56,10.36,1620484879
thiene,TR,36.862,34.6509,78.8,0,57,8.05,1620484879
wilkie,NL,51.7034,4.6259,55.99,100,85,5.99,1620484880
cracow,AM,40.7338,44.6847,75.2,74,25,5.75,1620484880
saint andrews,RU,57.8652,56.1056,68,40,32,6.71,1620484880
plattsburgh,KE,0.0421,36.3673,58.19,100,85,4.74,1620484881
manwath,FR,44.5,0.1667,82.99,72,57,5.99,1620484881
peace river,RO,45.25,25.9333,57,60,30,3,1620484881
golesti,GB,50.9416,-2.6321,55.99,75,94,25.32,1620484838
jesus maria,RU,45.3997,42.5867,73.4,0,40,11.18,1620484882
miroslovesti,RU,52.6887,37.964,51.04,100,95,17.45,1620484882
yarega,LV,56.6048,25.2553,46.99,48,51,14,1620484883
santa cruz mulua,JP,35.7839,139.2431,66.99,1,72,5.75,1620484883
krasnyy kut,ID,1.3038,124.9112,78.8,40,89,5.75,1620484927
masoko,PH,11.2,123.7333,83.21,100,75,13.2,1620484928
ilhabela,HU,46.0587,19.2612,58.69,59,37,5.97,1620484928
blagesti,IN,12.7833,78.7,84.85,15,58,10.58,1620484928
carver,DE,50.1167,9.9,63,98,31,8.72,1620484930
yandyki,RU,45.1209,37.6417,75.2,0,29,22.37,1620484931
munsingen,CZ,49.2952,14.4681,61,95,28,5.99,1620484931
ansalta,ID,-8.0786,111.8818,73.62,37,86,1.5,1620484932
